"kind_vorname","kind_geburtsdatum","kind_geschlecht","elt_vorname","elt_nachname","elt_geschlecht","elt_strasse","elt_haus_nr","elt_haus_nr_zusatz","elt_plz","elt_ort","kita_name"
"Anke","2013-11-10","weiblich","Anja","Schmitz","weiblich","Kornquaderweg","5",,"5734","Reinach","Kiga Grünau 2"
"Leonie","2013-10-25","weiblich","Daniel","Ebersbach","männlich","Spinatsch","21",,"1185","Mont-sur-Rolle","Kiga Im Herrlig 1 & 2"
"Leonie","2013-10-25","weiblich","Yvonne","Scherer","weiblich","Spinatsch","21",,"1185","Mont-sur-Rolle","Kiga Im Herrlig 1 & 2"
"Thomas","2011-04-20","männlich","Ulrich","Busch","männlich","Mühle","61",,"4911","Schwarzhäusern","Kiga Kappeli 1 & 2"
"Thomas","2011-04-20","männlich","Simone","Hueber","weiblich","Mühle","61",,"4911","Schwarzhäusern","Kiga Kappeli 1 & 2"
"Claudia","2017-02-04","weiblich","Philipp","Feierabend","männlich","Spinatsch","59",,"2740","Moutier","Kiga Am Suteracher 42"
"Claudia","2017-02-04","weiblich","Sabrina","Kuhn","weiblich","Spinatsch","59",,"2740","Moutier","Kiga Am Suteracher 42"
"Tanja","2011-10-24","weiblich","Phillipp","Amsel","männlich","Fortunastrasse","45",,"8474","Eschlikon","Kiga Freilager 3"
"Tanja","2011-10-24","weiblich","Katharina","Fuchs","weiblich","Fortunastrasse","45",,"8474","Eschlikon","Kiga Freilager 3"
"Wolfgang","2013-12-19","männlich","Mario","Schuster","männlich","Via Franscini","40",,"7559","Tschlin","Kiga Untermoos 3"
"Wolfgang","2013-12-19","männlich","Lena","König","weiblich","Via Franscini","40",,"7559","Tschlin","Kiga Untermoos 3"
"Manuela","2010-04-27","weiblich","Daniel","Luft","männlich","Brunnacherstrasse","113",,"8071","Zürich","Kiga Wickenweg 18"
"Manuela","2010-04-27","weiblich","Karin","Eichmann","weiblich","Brunnacherstrasse","113",,"8071","Zürich","Kiga Wickenweg 18"
"Angelika","2016-05-25","weiblich","Stefan","Adler","männlich","Studhaldenstrasse","74",,"1921","Les Rappes","Kiga Utogrund 1 & 2"
"Angelika","2016-05-25","weiblich","Doreen","Fink","weiblich","Studhaldenstrasse","74",,"1921","Les Rappes","Kiga Utogrund 1 & 2"
"Simone","2010-11-06","weiblich","Maximilian","Holzman","männlich","Breitenstrasse","144",,"4065","Basel","Kiga Flüelastrasse 13"
"Simone","2010-11-06","weiblich","Vanessa","Baumgaertner","weiblich","Breitenstrasse","144",,"4065","Basel","Kiga Flüelastrasse 13"
"Jörg","2019-01-16","männlich","Jens","Kaestner","männlich","Kirchstrasse","33",,"7032","Laax","Kiga Im Herrlig 3"
"Jörg","2019-01-16","männlich","Petra","Fischer","weiblich","Kirchstrasse","33",,"7032","Laax","Kiga Im Herrlig 3"
"David","2013-03-30","männlich","Kristian","Eberhardt","männlich","Erlenweg","76",,"1038","Bercher","Kiga Aemtler D1"
"David","2013-03-30","männlich","Brigitte","Kaufmann","weiblich","Erlenweg","76",,"1038","Bercher","Kiga Aemtler D1"
"Bernd","2010-09-08","männlich","Peter","Sanger","männlich","Schulstrasse","142",,"8633","Wolfhausen","Kiga Letzigraben 2"
"Bernd","2010-09-08","männlich","Janina","Konig","weiblich","Schulstrasse","142",,"8633","Wolfhausen","Kiga Letzigraben 2"
"Katja","2014-07-25","weiblich","Erik","Möller","männlich","Auerstrasse","57",,"1727","Magnedens","Kiga Schwandenwiesen II"
"Katja","2014-07-25","weiblich","Jennifer","Bachmeier","weiblich","Auerstrasse","57",,"1727","Magnedens","Kiga Schwandenwiesen II"
"Juliane","2015-04-21","weiblich","Patrick","Schreiner","männlich","Spinatsch","41","A","1081","Montpreveyres","Kiga Holzerhurd"
"Juliane","2015-04-21","weiblich","Maria","Bosch","weiblich","Spinatsch","41","A","1081","Montpreveyres","Kiga Holzerhurd"
"Melanie","2010-07-18","weiblich","Jonas","Foerster","männlich","Stradun","19",,"1723","Granges-sur-Marly","Kiga Ruggächer II"
"Melanie","2010-07-18","weiblich","Ursula","Goldschmidt","weiblich","Stradun","19",,"1723","Granges-sur-Marly","Kiga Ruggächer II"
"Stephan","2013-10-15","männlich","Dennis","Seiler","männlich","Glennerstrasse","9",,"1925","Giétroz","Kiga Isengrind II"
"Stephan","2013-10-15","männlich","Stephanie","Rothschild","weiblich","Glennerstrasse","9",,"1925","Giétroz","Kiga Isengrind II"
"Thomas","2012-12-03","männlich","Bernd","Meier","männlich","Via Franscini","43",,"2512","Tüscherz-Alfermée","Kiga Reckenholz II"
"Thomas","2012-12-03","männlich","Jessika","Duerr","weiblich","Via Franscini","43",,"2512","Tüscherz-Alfermée","Kiga Reckenholz II"
"Eric","2010-06-20","männlich","Alexander","Bergmann","männlich","Dreibündenstrasse","49",,"8108","Dällikon","Kiga Holunderhof II"
"Eric","2010-06-20","männlich","Lisa","Zweig","weiblich","Dreibündenstrasse","49",,"8108","Dällikon","Kiga Holunderhof II"
"Jonas","2013-02-19","männlich","Marcel","Achen","männlich","In Stierwisen","75",,"6648","Minusio","Kiga Künzli"
"Jonas","2013-02-19","männlich","Mandy","Schultheiss","weiblich","In Stierwisen","75",,"6648","Minusio","Kiga Künzli"
"Thomas","2018-09-25","männlich","Phillipp","Schweizer","männlich","Auerstrasse","71",,"5318","Mandach","Kiga Nordheim"
"Thomas","2018-09-25","männlich","Julia","Dresner","weiblich","Auerstrasse","71",,"5318","Mandach","Kiga Nordheim"
"Laura","2014-01-10","weiblich","Peter","Baier","männlich","Via Camischolas sura","95",,"5026","Densbüren","Kiga Regina-Kägi-Hof I"
"Laura","2014-01-10","weiblich","Johanna","Schuhmacher","weiblich","Via Camischolas sura","95",,"5026","Densbüren","Kiga Regina-Kägi-Hof I"
"Tobias","2018-07-11","männlich","Matthias","Eisenhower","männlich","Lichtmattstrasse","150",,"6936","Cademario","Kiga Riedenhalden III"
"Tobias","2018-07-11","männlich","Karolin","Barth","weiblich","Lichtmattstrasse","150",,"6936","Cademario","Kiga Riedenhalden III"
"Uta","2014-10-30","weiblich","Mike","Eisenberg","männlich","Schulstrasse","55",,"5637","Winterschwil","Kiga Eugen Huber-Strasse 21"
"Uta","2014-10-30","weiblich","Anke","Luft","weiblich","Schulstrasse","55",,"5637","Winterschwil","Kiga Eugen Huber-Strasse 21"
"Felix","2018-01-08","männlich","Luca","Meister","männlich","Tösstalstrasse","105","C","7158","Waltensburg","Kiga Altweg 1"
"Felix","2018-01-08","männlich","Franziska","Theiss","weiblich","Tösstalstrasse","105","C","7158","Waltensburg","Kiga Altweg 1"
"Leon","2015-07-15","männlich","Jonas","Seiler","männlich","Bösch","90",,"1322","Croy","Kiga Altweg 3"
"Leon","2015-07-15","männlich","Ute","Ostermann","weiblich","Bösch","90",,"1322","Croy","Kiga Altweg 3"
"Phillipp","2018-02-02","männlich","Martin","Kaufmann","männlich","Casa Gielgia","65",,"9123","Nassen","Kiga Grünau 2"
"Phillipp","2018-02-02","männlich","Birgit","Faerber","weiblich","Casa Gielgia","65",,"9123","Nassen","Kiga Grünau 2"
"Jörg","2010-02-11","männlich","Steffen","Grunewald","männlich","Im Wingert","125",,"1052","Le Mont-sur-Lausanne","Kiga Im Herrlig 1 & 2"
"Jörg","2010-02-11","männlich","Monika","Wirtz","weiblich","Im Wingert","125",,"1052","Le Mont-sur-Lausanne","Kiga Im Herrlig 1 & 2"
"Florian","2018-05-14","männlich","Markus","Mahler","männlich","Casa Gielgia","30","D","2000","Neuchâtel","Kiga Kappeli 1 & 2"
"Florian","2018-05-14","männlich","Johanna","Freeh","weiblich","Casa Gielgia","30","D","2000","Neuchâtel","Kiga Kappeli 1 & 2"
"Steffen","2018-05-25","männlich","Tom","Roth","männlich","Kappelergasse","140",,"8192","Aarüti","Kiga Am Suteracher 42"
"Steffen","2018-05-25","männlich","Antje","Schuhmacher","weiblich","Kappelergasse","140",,"8192","Aarüti","Kiga Am Suteracher 42"
"Vanessa","2013-04-12","weiblich","Max","Schmid","männlich","Gartenhof","23",,"6612","Ascona","Kiga Freilager 3"
"Vanessa","2013-04-12","weiblich","Sabine","Eisenhower","weiblich","Gartenhof","23",,"6612","Ascona","Kiga Freilager 3"
"Jörg","2012-03-31","männlich","Lukas","Zimmerman","männlich","Hauptstrasse","20",,"7056","Molinis","Kiga Wickenweg 18"
"Franziska","2011-12-12","weiblich","Lukas","Zimmerman","männlich","Hauptstrasse","20",,"7056","Molinis","Kiga Aemtler D1"
"Manuela","2017-06-17","weiblich","Sven","Wechsler","männlich","Hauptstrasse","20",,"7056","Molinis","Kiga Untermoos 3"
"Jessica","2010-12-04","weiblich","Sven","Wechsler","männlich","Hauptstrasse","20",,"7056","Molinis","Kiga Im Herrlig 3"
"Manuela","2017-06-17","weiblich","Simone","Kuhn","weiblich","Hauptstrasse","20",,"7056","Molinis","Kiga Untermoos 3"
"Jörg","2012-03-31","männlich","Simone","Kuhn","weiblich","Hauptstrasse","20",,"7056","Molinis","Kiga Wickenweg 18"
"Jessica","2010-12-04","weiblich","Juliane","Rothstein","weiblich","Hauptstrasse","20",,"7056","Molinis","Kiga Im Herrlig 3"
"Franziska","2011-12-12","weiblich","Juliane","Rothstein","weiblich","Hauptstrasse","20",,"7056","Molinis","Kiga Aemtler D1"
"Marco","2012-01-14","männlich","Matthias","Werner","männlich","Kopfhölzistrasse","98",,"3822","Lauterbrunnen","Kiga Holunderhof II"
"Marco","2012-01-14","männlich","Klaudia","Cole","weiblich","Kopfhölzistrasse","98",,"3822","Lauterbrunnen","Kiga Holunderhof II"
"Katharina","2018-09-20","weiblich","Tim","Mehler","männlich","Kronwiesenweg","149",,"6234","Kulmerau","Kiga Utogrund 1 & 2"
"Katharina","2018-09-20","weiblich","Anke","Eichel","weiblich","Kronwiesenweg","149",,"6234","Kulmerau","Kiga Utogrund 1 & 2"
"Philipp","2015-06-23","männlich","Maik","Bar","männlich","Mülhauserstrasse","70",,"9427","Mültobel","Kiga Flüelastrasse 13"
"Philipp","2015-06-23","männlich","Janina","Pfeiffer","weiblich","Mülhauserstrasse","70",,"9427","Mültobel","Kiga Flüelastrasse 13"
"Monika","2015-01-31","weiblich","Thomas","Schulz","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Holzerhurd"
"Daniel","2018-11-28","männlich","Thomas","Schulz","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Reckenholz II"
"Dennis","2011-08-13","männlich","Thomas","Schulz","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Kappeli 1 & 2"
"Mathias","2010-08-23","männlich","David","Hoffmann","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Schwandenwiesen II"
"Martina","2011-09-01","weiblich","David","Hoffmann","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Isengrind II"
"Christina","2010-09-23","weiblich","David","Hoffmann","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Im Herrlig 1 & 2"
"Benjamin","2015-09-05","männlich","Ralf","Hueber","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Letzigraben 2"
"Sophie","2012-10-25","weiblich","Ralf","Hueber","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Ruggächer II"
"Luca","2014-10-28","männlich","Ralf","Hueber","männlich","Mattenstrasse","74",,"1951","Sion","Kiga Grünau 2"
"Benjamin","2015-09-05","männlich","Ines","Schweitzer","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Letzigraben 2"
"Mathias","2010-08-23","männlich","Ines","Schweitzer","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Schwandenwiesen II"
"Monika","2015-01-31","weiblich","Ines","Schweitzer","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Holzerhurd"
"Sophie","2012-10-25","weiblich","Angelika","Bayer","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Ruggächer II"
"Martina","2011-09-01","weiblich","Angelika","Bayer","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Isengrind II"
"Daniel","2018-11-28","männlich","Angelika","Bayer","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Reckenholz II"
"Luca","2014-10-28","männlich","Petra","Biermann","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Grünau 2"
"Christina","2010-09-23","weiblich","Petra","Biermann","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Im Herrlig 1 & 2"
"Dennis","2011-08-13","männlich","Petra","Biermann","weiblich","Mattenstrasse","74",,"1951","Sion","Kiga Kappeli 1 & 2"
"Ute","2012-07-30","weiblich","Benjamin","Schreiner","männlich","Wolfensbergstrasse","42",,"3178","Riederberg","Kiga Künzli"
"Ute","2012-07-30","weiblich","Jana","Kortig","weiblich","Wolfensbergstrasse","42",,"3178","Riederberg","Kiga Künzli"
"Jessica","2014-11-29","weiblich","Marco","Furst","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Riedenhalden III"
"Juliane","2014-03-03","weiblich","Marco","Furst","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Altweg 3"
"Annett","2018-11-08","weiblich","Marco","Furst","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Luchswiesen 1 & 2"
"Ralph","2014-11-18","männlich","Alexander","Mehler","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Regina-Kägi-Hof I"
"Sandra","2013-09-03","weiblich","Alexander","Mehler","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Altweg 1"
"Jennifer","2014-11-24","weiblich","Alexander","Mehler","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Mattenhof II"
"Christina","2014-06-24","weiblich","Dennis","Foerster","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Nordheim"
"Martina","2011-03-20","weiblich","Dennis","Foerster","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Eugen Huber-Strasse 21"
"Vanessa","2017-03-01","weiblich","Dennis","Foerster","männlich","Sonnenbergstr","43",,"1035","Bournens","Kiga Roswiesen 2"
"Christina","2014-06-24","weiblich","Lena","Herz","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Nordheim"
"Ralph","2014-11-18","männlich","Lena","Herz","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Regina-Kägi-Hof I"
"Jessica","2014-11-29","weiblich","Lena","Herz","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Riedenhalden III"
"Martina","2011-03-20","weiblich","Diana","Barth","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Eugen Huber-Strasse 21"
"Sandra","2013-09-03","weiblich","Diana","Barth","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Altweg 1"
"Juliane","2014-03-03","weiblich","Diana","Barth","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Altweg 3"
"Vanessa","2017-03-01","weiblich","Ines","Ritter","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Roswiesen 2"
"Jennifer","2014-11-24","weiblich","Ines","Ritter","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Mattenhof II"
"Annett","2018-11-08","weiblich","Ines","Ritter","weiblich","Sonnenbergstr","43",,"1035","Bournens","Kiga Luchswiesen 1 & 2"
"Annett","2013-09-20","weiblich","Marco","Traugott","männlich","Tösstalstrasse","115",,"8570","Weinfelden","Kiga Am Suteracher 42"
"Annett","2013-09-20","weiblich","Diana","Gersten","weiblich","Tösstalstrasse","115",,"8570","Weinfelden","Kiga Am Suteracher 42"
"Max","2017-12-16","männlich","Ralph","Schmid","männlich","Wingertweg","53","D","3184","Elswil","Kiga Freilager 3"
"Max","2017-12-16","männlich","Claudia","Kaufmann","weiblich","Wingertweg","53","D","3184","Elswil","Kiga Freilager 3"
"Gabriele","2017-08-16","weiblich","Klaus","Nagel","männlich","Lungolago","119",,"9425","Thal","Kiga Wickenweg 18"
"Steffen","2018-05-21","männlich","Klaus","Nagel","männlich","Lungolago","119",,"9425","Thal","Kiga Im Herrlig 3"
"Diana","2012-08-30","weiblich","Klaus","Brauer","männlich","Lungolago","119",,"9425","Thal","Kiga Untermoos 3"
"Maximilian","2014-10-18","männlich","Klaus","Brauer","männlich","Lungolago","119",,"9425","Thal","Kiga Flüelastrasse 13"
"Diana","2012-08-30","weiblich","Leah","Keller","weiblich","Lungolago","119",,"9425","Thal","Kiga Untermoos 3"
"Gabriele","2017-08-16","weiblich","Leah","Keller","weiblich","Lungolago","119",,"9425","Thal","Kiga Wickenweg 18"
"Maximilian","2014-10-18","männlich","Katrin","Oster","weiblich","Lungolago","119",,"9425","Thal","Kiga Flüelastrasse 13"
"Steffen","2018-05-21","männlich","Katrin","Oster","weiblich","Lungolago","119",,"9425","Thal","Kiga Im Herrlig 3"
"Florian","2016-10-13","männlich","Kristian","Theissen","männlich","Auerstrasse","96",,"7242","Luzein","Kiga Utogrund 1 & 2"
"Florian","2016-10-13","männlich","Silke","Holtzmann","weiblich","Auerstrasse","96",,"7242","Luzein","Kiga Utogrund 1 & 2"
"Benjamin","2012-07-05","männlich","Swen","Eggers","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 1 (1&2)"
"Mario","2011-11-01","männlich","Swen","Eggers","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 2"
"Sebastian","2016-11-14","männlich","Swen","Eggers","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Mattenhof II"
"Patrick","2018-06-05","männlich","Swen","Eggers","männlich","Wingertweg","72",,"8280","Emmishofen","Schulklasse von Nina Handschin"
"Karolin","2018-09-21","weiblich","Swen","Köhler","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Luchswiesen 1 & 2"
"Christine","2011-07-08","weiblich","Swen","Köhler","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 1 (1&2)"
"Wolfgang","2019-01-30","männlich","Swen","Köhler","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 2"
"Nicole","2010-12-01","weiblich","Swen","Köhler","männlich","Wingertweg","72",,"8280","Emmishofen","Schulklassen von Renata Guendouz / Ursina Bobo"
"Patrick","2013-05-25","männlich","Kevin","Pfeffer","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Letzigraben 2"
"Karolin","2014-02-25","weiblich","Kevin","Pfeffer","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Luchswiesen 1 & 2"
"Mathias","2012-06-14","männlich","Kevin","Pfeffer","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 1 (1&2)"
"Jennifer","2011-09-17","weiblich","Kevin","Pfeffer","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Mattenhof II"
"Jessika","2013-12-17","weiblich","David","Brandt","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Aemtler D1"
"Jessika","2018-10-17","weiblich","David","Brandt","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Mattenhof II"
"Anne","2017-10-12","weiblich","David","Brandt","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Luchswiesen 1 & 2"
"Niklas","2012-12-22","männlich","David","Brandt","männlich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 2"
"Jessika","2013-12-17","weiblich","Christina","Mueller","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Aemtler D1"
"Patrick","2013-05-25","männlich","Christina","Mueller","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Letzigraben 2"
"Karolin","2018-09-21","weiblich","Christina","Mueller","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Luchswiesen 1 & 2"
"Benjamin","2012-07-05","männlich","Christina","Mueller","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 1 (1&2)"
"Jessika","2018-10-17","weiblich","Kathrin","Wagner","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Mattenhof II"
"Karolin","2014-02-25","weiblich","Kathrin","Wagner","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Luchswiesen 1 & 2"
"Christine","2011-07-08","weiblich","Kathrin","Wagner","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 1 (1&2)"
"Mario","2011-11-01","männlich","Kathrin","Wagner","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 2"
"Anne","2017-10-12","weiblich","Manuela","Weber","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Luchswiesen 1 & 2"
"Mathias","2012-06-14","männlich","Manuela","Weber","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 1 (1&2)"
"Wolfgang","2019-01-30","männlich","Manuela","Weber","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 2"
"Sebastian","2016-11-14","männlich","Manuela","Weber","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Mattenhof II"
"Niklas","2012-12-22","männlich","Brigitte","Kuefer","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Roswiesen 2"
"Jennifer","2011-09-17","weiblich","Brigitte","Kuefer","weiblich","Wingertweg","72",,"8280","Emmishofen","Kiga Mattenhof II"
"Nicole","2010-12-01","weiblich","Brigitte","Kuefer","weiblich","Wingertweg","72",,"8280","Emmishofen","Schulklassen von Renata Guendouz / Ursina Bobo"
"Patrick","2018-06-05","männlich","Brigitte","Kuefer","weiblich","Wingertweg","72",,"8280","Emmishofen","Schulklasse von Nina Handschin"
"Steffen","2010-10-23","männlich","Markus","Feierabend","männlich","Wolfensbergstrasse","101",,"8142","Ringlikon","Kiga Roswiesen 1 (1&2)"
"Steffen","2010-10-23","männlich","Doreen","Baumgartner","weiblich","Wolfensbergstrasse","101",,"8142","Ringlikon","Kiga Roswiesen 1 (1&2)"
"Anke","2011-03-11","weiblich","Eric","Hertzog","männlich","Sonnenbergstr","72",,"6932","Breganzona","Kiga Roswiesen 2"
"Anke","2011-03-11","weiblich","Susanne","Wirtz","weiblich","Sonnenbergstr","72",,"6932","Breganzona","Kiga Roswiesen 2"
"Nicole","2016-01-07","weiblich","Uwe","Rothstein","männlich","Bösch","59",,"1795","Courlevon","Kiga Mattenhof II"
"Nicole","2016-01-07","weiblich","Sophia","Beich","weiblich","Bösch","59",,"1795","Courlevon","Kiga Mattenhof II"
"Klaus","2011-10-26","männlich","Jens","Eisenhower","männlich","Üerklisweg","124",,"5505","Brunegg","Kiga Luchswiesen 1 & 2"
"Klaus","2011-10-26","männlich","Jennifer","Eisenhower","weiblich","Üerklisweg","124",,"5505","Brunegg","Kiga Luchswiesen 1 & 2"
"Thorsten","2014-01-09","männlich","Phillipp","Bach","männlich","Herrenberg","28",,"1243","Presinge","Kiga Roswiesen 1 (1&2)"
"Thorsten","2014-01-09","männlich","Melanie","Pfeffer","weiblich","Herrenberg","28",,"1243","Presinge","Kiga Roswiesen 1 (1&2)"
"Angelika","2018-05-17","weiblich","Daniel","Gärtner","männlich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklasse von Elisa Brander"
"Marie","2015-01-17","weiblich","Daniel","Gärtner","männlich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklassen von Renata Guendouz / Ursina Bobo"
"Marina","2017-08-06","weiblich","Robert","Mauer","männlich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklasse von Lara Ponzo"
"Karolin","2012-05-10","weiblich","Robert","Mauer","männlich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklasse von Elisa Brander"
"Marina","2017-08-06","weiblich","Katrin","Kruger","weiblich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklasse von Lara Ponzo"
"Angelika","2018-05-17","weiblich","Katrin","Kruger","weiblich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklasse von Elisa Brander"
"Karolin","2012-05-10","weiblich","Simone","Baumgaertner","weiblich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklasse von Elisa Brander"
